text,hypothesis,majority_label
help,live,independent
state,california,entailment
board,plane,other-related
democratic,seats,independent
attack,play,independent
secretary,visit,independent
come,is going,alternation
is,stay,independent
more,strong,independent
air,army,independent
associate,cause,independent
loss of,people lose,entailment
eu,euro,entailment
film .,motion picture,entailment
life,humans,entailment
are,plan to,independent
sit,writing,independent
el,water,independent
girl,night,independent
fighting,ring,independent
appear,do,independent
force,movement,independent
been,occur,alternation
fireplace,mantel,other-related
a boy,young,other-related
bomb,a suicide bomber,entailment
majority,survey,independent
chief,the leader,equivalence
open of,top of,independent
be,be possible,independent
good,super,equivalence
center,federal,independent
francisco,san,other-related
been,convict,independent
accord,survey,independent
germany,germany 's,other-related
are,really,independent
see,was,independent
out,table,independent
economy,the world,other-related
jackson,michael jackson,entailment
the head of,president of the,entailment
air,midair,entailment
monday,palestinian,independent
help,relieve,entailment
relate,sister,independent
state,pakistan,entailment
being,witness,independent
event,conference,entailment
return to,to come,alternation
kill on,was murdered,entailment
is no,people are,independent
intake of,level of,independent
us troops,u.s. soldier,entailment
alliance,unite,equivalence
"jerusalem ,",east jerusalem,entailment
play an,play by,independent
movement,time,independent
chief,staff,independent
build,divert,independent
occur,target,independent
bosnia,bosnia-herzegovina,entailment
agreement,government,independent
is spinning,run,independent
police,take,independent
germany,iran,other-related
out,part of,independent
america 's,the unite state,entailment
case,suit,independent
collective,union,equivalence
the war,win,other-related
involve,local,independent
leader,arafat,entailment
lie,look at,independent
make,woman,independent
council,report,other-related
child is,boy 's,entailment
export,was,independent
global,health,independent
fight,sit,independent
blue,suit,independent
deter,stop,equivalence
speak,talk to,equivalence
a.m.,department,independent
convention,have,independent
give,state,independent
"committee ,",the committee 's,equivalence
team,employee,entailment
just,a few days,entailment
group,league,entailment
cut,piece,other-related
country,international community,other-related
civilian,other civilian,other-related
political,territorial,other-related
document,national,independent
jim,say,independent
have,take,independent
of iran,of iran 's,equivalence
the side,the top,alternation
of peace,to push,independent
accept,expect,independent
the christian,'s christian,entailment
court to,supreme court,entailment
little,the small,equivalence
"a share ,","per share ,",equivalence
away from,out of,other-related
lady,up,independent
island,these island,entailment
is the,regard as,independent
security,the same,independent
plan to,will take,independent
prince,wales,other-related
language,many,independent
department of,of state,other-related
month,mother,independent
do,walk,entailment
on the top,up,other-related
a unite nation,the unite,other-related
deliver,handle,other-related
girl,one woman,other-related
new job,unemployment,alternation
he was,say that,independent
a suicide,a suicide bomb,entailment
of southeast,of southeast asian,entailment
earnings,stocks,entailment
police,troops,independent
break,side,independent
command center,command centre,equivalence
general,state,independent
city,people,other-related
is held,meeting,independent
drop,rise,alternation
guatemala,mexico,alternation
israel,margin,independent
possible,unite,independent
pole,post,equivalence
to consider,to review,equivalence
monetary,stability,independent
fly,jet,other-related
together,a group,entailment
to death,was killed,other-related
a statement,iraq,independent
last autumn,last fall,equivalence
force,people,independent
back,domestic,alternation
go,service,independent
city,kong,entailment
bed,stand,independent
to help,to provide,equivalence
hill,christopher hill,entailment
eu,britain,entailment
people are,there is,independent
stay in,time spent in,equivalence
people,team,entailment
call,period,independent
are,walk,independent
reform,revolutionary,entailment
over,past,independent
ride,seat,other-related
authority,the state,other-related
husband,marry to,other-related
eastern part,was,independent
slice,piece,entailment
people were,was killed,independent
cat,not,independent
water,underwater,entailment
leader,national,entailment
military,the u.s. military,entailment
growth,report,independent
france,security,independent
mention,say,equivalence
is a member,member of,equivalence
are,eat,independent
award,the year,independent
hundred of,million of,alternation
not be,to stop,independent
hold,send,independent
european,have,independent
research,drug,entailment
eu,romania,entailment
palestinian,peace,independent
past,program,independent
woman in,young woman,entailment
possible,white,independent
top,woman,independent
is buying,purchase,equivalence
