truth,hypothesis,majority_label
agency,services,independent
iraq,the unite,independent
secretary of state,state,hyponym
marine,the marine corps,hypernym
thursday .,thursday night .,hypernym
failure,the ruling,independent
a bunch,group,synonym
jerusalem,of east jerusalem,hypernym
locate,to be,independent
part in a,take part in,synonym
environmental,propose,independent
background,ocean,independent
attend,conference,other-related
form,hope,independent
is being,is using,independent
to establish,to go,independent
body,wto,independent
israeli,the palestinian,alternation
a member of,joining the,independent
ministerial,wto,independent
bank,cash,other-related
band,sing,hypernym
take place in,were held,independent
hand,table,independent
are not,people are,alternation
hall,st.,independent
a man is,men are,hyponym
buy,offer,independent
follow,is following,other-related
punishment,the death,other-related
the case,yesterday,independent
china,rmb,independent
day,first day,hypernym
response,virus,independent
terror attack,terrorist,hyponym
play,song,other-related
a bicycle,bike,synonym
council,governing,other-related
korea,north,other-related
at present,is,alternation
a lot of,many people,hypernym
environment,project,independent
a boy,a young boy,hypernym
party,unity,independent
commissioner,take,independent
israeli,the radio,independent
the table,their hands,independent
is being,is putting,independent
lot,parking,other-related
locate,write,independent
aircraft,station,independent
it headquarters in,locate in,other-related
end,friday,independent
a teenager,young,hyponym
not,only,independent
conference,trade,other-related
child,have,independent
have,walk,independent
base on,role of,independent
dead,kill,other-related
group,responsibility,independent
a motorcycle,bike,hyponym
forest,woods,synonym
evidence,inquiry,other-related
minister,time,independent
show,sit,independent
girl,little,other-related
bowl,cut,independent
deal,telephone,independent
warming,weather,other-related
remedy,treatment,synonym
people kill,who die,independent
california,southern,independent
a new,be a,independent
operate,power,independent
police .,police officer,hypernym
cash,deal,hyponym
rocket,vehicle,hyponym
latest,new,synonym
earlier,iran,independent
rates,stock,independent
intake,role,independent
country,kazakhstan,hypernym
creation,organization,independent
create,out,independent
standing,take,independent
democratic,unite,independent
catholic,church,hyponym
investigate,look,synonym
dan,lead,independent
ingredient,piece,independent
build,make,hyponym
represent in,representation in the,hyponym
environmental,sustainability,other-related
back,soon,independent
action,civilian,independent
a senior,accord to a,independent
was,was arrested,hypernym
and talk,to speak,synonym
area,large,other-related
russia,russian,hypernym
federal,issue,independent
a military,army,hypernym
the dalai,the dalai lama,hypernym
first,july,independent
face,her eyes,hypernym
each child,kid,hyponym
art gallery,gallery and,hyponym
order to,support of,independent
an explosion,blast,synonym
is studying,look at,hyponym
currency,union,independent
flu,health,hyponym
asian,conference,independent
delta,oil,independent
new,version,independent
israel,yasser arafat,independent
the world,world 's,hypernym
", the international",the world,hyponym
away,towards,antonym
standing,wear,independent
being,draw,alternation
germany,woman,hyponym
police,soldier,other-related
america,state,hypernym
air,region,independent
game,tennis,hypernym
daughter,marriage,independent
ignore,look,antonym
document,report,hypernym
"island ,",island .,synonym
paper,sheet,other-related
was wearing,were,independent
bowl,chop,independent
eastern,was,independent
refuse,was,independent
pakistan,say,independent
become the first,was the first,synonym
different,little,independent
man,there is,independent
"""",times,independent
dispute,war,hypernym
new record,record for,other-related
fox,president,independent
back,side,independent
mount,mountain,other-related
agree,meet,independent
a group,another group,synonym
is proposed,recommendation on,other-related
people were injured,people were wounded,synonym
been,incline,independent
france 's,french,synonym
border,united,independent
offer,train,independent
break,take a break,other-related
center,national,independent
account,review,independent
bag,head,independent
january,report,independent
english,second,independent
decrease,year,independent
business,responsible,independent
nasa,space,other-related
interest,wealth,independent
deal,oil,independent
agency,kyodo,independent
more,very,independent
three week,week ago,other-related
stand,suit,independent
health,trade,independent
a boy,someone,hyponym
roll,tour,independent
european,unite,independent
music,video,other-related
enter into,launch,other-related
push,turn,independent
responsible,several,independent
government,person,independent
a mother,woman,hyponym
washington,white house,hypernym
decision,parliament,other-related
are gathered,are sitting,hypernym
early,years,independent
conference,police,independent
not,sound,independent
award a,receive the,synonym
kid,walk,independent
company,post,independent
die in,pass away in,synonym
home,live,independent
leaders,washington,other-related
school,school child,hypernym
carry out,the introduction of,independent
a few,is no,independent
bird,flu,other-related
move,ruling,independent
movement,process,independent
a few,somebody,hypernym
been,develop,independent
korean,south,other-related
currency,percent,independent
marry,to marry,synonym
country,oil,independent
judge,mark,independent
purpose,resource,independent
a small,"little ,",synonym
little,puppy,independent
director,film,other-related
a police,police officer,hypernym
fare,passenger,other-related
in prison,into custody,hyponym
hold a,take a,independent
attempt,involve,independent
a call,a phone,other-related
air force,army,other-related
look,was,independent
nine,were,independent
front,off,independent
environment .,of environmental,hypernym
gear,uniform,other-related
mouth,water,independent
bush,case,independent
core,way,independent
de,solid,independent
is the,she 's,independent
election,voter,other-related
the first,very first,synonym
line,world,independent
do,play,independent
are located,work,independent
business,government,other-related
part,security,independent
head,headdress,other-related
open,thursday,independent
"morning ,","sunday morning ,",hypernym
an area,party,independent
british,the u.k.,hyponym
concern,environment,other-related
lot,people,independent
bit,however,independent
ballot,vote,other-related
microsoft,software,other-related
few people,people,hyponym
file,the case,other-related
has been,have always,hypernym
frenchman,jacques,hypernym
hollywood,movie,other-related
mark the beginning,the beginning of,synonym
company,place,independent
someone,the man,hypernym
system,un,independent
the ban,this move,independent
increase,is rising,synonym
drug,drug dependence,hyponym
ago,have,independent
acceptable,is,independent
cable,cable company,hypernym
race,run,other-related
in front,the face of,hypernym
done,perform,independent
potential,recent,independent
